2014/2/1
21 -> 55 | media : 0.400000
22 -> 50 | media : 0.500000
23 -> 30 | media : 0.466667
24 -> 39 | media : 0.487179
25 -> 32 | media : 0.250000
26 -> 25 | media : 0.280000
27 -> 17 | media : 0.176471
28 -> 7 | media : 0.000000
29 -> 10 | media : 0.300000
30 -> 6 | media : 0.333333
31 -> 1 | media : 0.000000
32 -> 1 | media : 0.000000
33 -> 4 | media : 0.000000
34 -> 3 | media : 0.333333
35 -> 2 | media : 0.000000
36 -> 2 | media : 1.000000
37 -> 1 | media : 0.000000
42 -> 1 | media : 0.000000
43 -> 1 | media : 0.000000
2014/2/9
1 -> 13949 | media : 3.597319
2 -> 8637 | media : 14.563622
3 -> 4611 | media : 5.223162
4 -> 2802 | media : 3.877587
5 -> 1983 | media : 3.199193
6 -> 1536 | media : 2.710286
7 -> 1059 | media : 1.903683
8 -> 802 | media : 2.027431
9 -> 608 | media : 1.322368
10 -> 443 | media : 0.934537
11 -> 444 | media : 0.698198
12 -> 417 | media : 0.827338
13 -> 359 | media : 0.766017
14 -> 303 | media : 0.795380
15 -> 223 | media : 0.995516
16 -> 169 | media : 0.976331
17 -> 138 | media : 0.623188
18 -> 108 | media : 1.037037
19 -> 81 | media : 0.839506
20 -> 46 | media : 0.826087
21 -> 31 | media : 0.354839
22 -> 36 | media : 0.694444
23 -> 23 | media : 1.434783
24 -> 24 | media : 1.750000
25 -> 25 | media : 1.280000
26 -> 22 | media : 3.045455
27 -> 21 | media : 1.666667
28 -> 20 | media : 1.700000
29 -> 14 | media : 1.642857
30 -> 2 | media : 0.500000
31 -> 1 | media : 0.000000
32 -> 1 | media : 0.000000
33 -> 1 | media : 0.000000
35 -> 1 | media : 0.000000
39 -> 1 | media : 1.000000
2014/2/10
1 -> 20299 | media : 2.220306
2 -> 12513 | media : 9.929194
3 -> 6223 | media : 3.433553
4 -> 3540 | media : 2.979944
5 -> 2339 | media : 2.177426
6 -> 1734 | media : 1.812572
